,psgc,island_group,regional_center,region_abbr,region_name,n_lgus,lgus,area_km2,area_mi2,population_count_2020,population_pa_2020,density_2020_km2,density_2020_mi2,region_links
0,13,Luzon,['Manila'],NCR,National Capital Region ,17,"['Caloocan', 'Las Piñas', 'Makati', 'Malabon', 'Mandaluyong', 'Manila', 'Marikina', 'Muntinlupa', 'Navotas', 'Parañaque', 'Pasay', 'Pasig', 'Pateros', 'Quezon City', 'San Juan', 'Taguig', 'Valenzuela', '']",619.57,239.22,13484462.0,12.41,20784.0,,https://en.wikipedia.org/wiki/Metro_Manila
1,14,Luzon,['Baguio'],CAR,Cordillera Administrative Region ,7,"['Abra', 'Apayao', 'Baguio', 'Benguet', 'Ifugao', 'Kalinga', 'Mountain Province', '']",19422.03,7498.89,1791121.0,1.65,89.0,,https://en.wikipedia.org/wiki/Cordillera_Administrative_Region
2,01,Luzon,['San Fernando'],Region I,Ilocos Region ,5,"['Dagupan', 'Ilocos Norte', 'Ilocos Sur', 'La Union', 'Pangasinan', '']",13012.6,5024.19,5292297.0,4.87,386.0,,https://en.wikipedia.org/wiki/Ilocos_Region
3,02,Luzon,['Tuguegarao'],Region II,Cagayan Valley ,6,"['Batanes', 'Cagayan', 'Isabela', 'Nueva Vizcaya', 'Quirino', 'Santiago', '']",28228.83,10899.21,3679748.0,3.39,122.0,,https://en.wikipedia.org/wiki/Cagayan_Valley
4,03,Luzon,['San Fernando'],Region III,Central Luzon ,9,"['Angeles City', 'Aurora', 'Bataan', 'Bulacan', 'Nueva Ecija', 'Olongapo', 'Pampanga', 'Tarlac', 'Zambales', '']",22014.63,8499.9,12387811.0,11.4,510.0,,https://en.wikipedia.org/wiki/Central_Luzon
5,04,Luzon,['Calamba'],Region IV-A,Calabarzon ,6,"['Batangas', 'Cavite', 'Laguna', 'Lucena', 'Quezon', 'Rizal', '']",16873.31,6514.82,16139770.0,14.85,854.0,,https://en.wikipedia.org/wiki/Calabarzon
6,17,Luzon,['Calapan'],Mimaropa,Southwestern Tagalog Region ,6,"['Marinduque', 'Occidental Mindoro', 'Oriental Mindoro', 'Palawan', 'Puerto Princesa', 'Romblon', '']",29620.9,11436.69,3212287.0,2.96,100.0,,https://en.wikipedia.org/wiki/Mimaropa
7,05,Luzon,['Legazpi'],Region V,Bicol Region ,7,"['Albay', 'Camarines Norte', 'Camarines Sur', 'Catanduanes', 'Masbate', 'Naga', 'Sorsogon', '']",18155.82,7010.0,6067290.0,5.58,319.0,,https://en.wikipedia.org/wiki/Bicol_Region
8,06,Visayas,['Iloilo City'],Region VI,Western Visayas ,6,"['Aklan', 'Antique', 'Capiz', 'Guimaras', 'Iloilo', 'Iloilo City', '']",12750.63,4923.05,4730771.0,4.35,371.0,,https://en.wikipedia.org/wiki/Western_Visayas
9,18,Visayas,"['Bacolod', 'Dumaguete ']",NIR,Negros Island Region ,4,"['Bacolod', 'Negros Occidental', 'Negros Oriental', 'Siquijor', '']",13646.5,5268.9,4104000.0,3.78,301.0,,https://en.wikipedia.org/wiki/Negros_Island_Region
10,07,Visayas,['Cebu City'],Region VII,Central Visayas ,7,"['Bohol', 'Cebu', 'Cebu City', 'Lapu-Lapu', 'Mandaue', '']",15487.69,5979.83,8046285.0,7.4,478.0,,https://en.wikipedia.org/wiki/Central_Visayas
11,08,Visayas,['Tacloban'],Region VIII,Eastern Visayas ,8,"['Biliran', 'Eastern Samar', 'Leyte', 'Northern Samar', 'Ormoc', 'Samar', 'Southern Leyte', 'Tacloban', '']",23251.1,8977.3,4531512.0,4.17,191.0,,https://en.wikipedia.org/wiki/Eastern_Visayas
12,09,Mindanao,['Pagadian'],Region IX,Zamboanga Peninsula ,5,"['Isabela City', 'Zamboanga City', 'Zamboanga del Norte', 'Zamboanga del Sur', 'Zamboanga Sibugay', '']",17056.73,6585.64,3862588.0,3.55,213.0,,https://en.wikipedia.org/wiki/Zamboanga_Peninsula
13,10,Mindanao,['Cagayan de Oro'],Region X,Northern Mindanao ,7,"['Bukidnon', 'Cagayan de Oro', 'Camiguin', 'Iligan', 'Lanao del Norte', 'Misamis Occidental', 'Misamis Oriental', '']",20496.02,7913.56,5007798.0,4.61,229.0,,https://en.wikipedia.org/wiki/Northern_Mindanao
14,11,Mindanao,['Davao City'],Region XI,Davao Region ,6,"['Davao City', 'Davao de Oro', 'Davao del Norte', 'Davao del Sur', 'Davao Occidental', 'Davao Oriental', '']",20357.42,7860.04,5223802.0,4.81,245.0,,https://en.wikipedia.org/wiki/Davao_Region
15,12,Mindanao,['Koronadal'],Region XII,Soccsksargen ,5,"['Cotabato', 'General Santos', 'Sarangani', 'South Cotabato', 'Sultan Kudarat', '']",22513.3,8692.43,4351773.0,4.0,202.0,,https://en.wikipedia.org/wiki/Soccsksargen
16,16,Mindanao,['Butuan'],Region XIII,Caraga ,6,"['Agusan del Norte', 'Agusan del Sur', 'Butuan', 'Dinagat Islands', 'Surigao del Norte', 'Surigao del Sur', '']",21478.35,8292.84,2795340.0,2.57,121.0,,https://en.wikipedia.org/wiki/Caraga
17,19,Mindanao,['Cotabato City'],BARMM,Bangsamoro ,7,"['Basilan ', 'Cotabato City', 'Lanao del Sur', 'Maguindanao del Norte', 'Maguindanao del Sur', 'Sulu', 'Tawi-Tawi', '63 barangays in Cotabato', '']",12535.79,4840.1,4938539.0,4.54,302.0,,https://en.wikipedia.org/wiki/Bangsamoro
